ID,Timestamp,Count,Change
1,1721125940,115,0
2,1721126005,122,7
3,1721126128,138,16
4,1721126558,140,2
5,1721126683,143,3
6,1721127415,149,6
7,1721127478,152,3
8,1721127725,166,14
9,1721127852,175,9
10,1721128219,182,7
11,1721128465,186,4
12,1721128650,190,4
13,1721128714,213,23
14,1721129144,218,5
15,1721129327,228,10
16,1721129451,235,7
17,1721129575,236,1
18,1721129656,237,1
19,1721129762,245,8
20,1721129879,247,2
21,1721130011,259,12
22,1721130350,265,6
23,1721130475,289,24
24,1721130720,290,1
25,1721131027,294,4
26,1721131275,300,6
27,1721131597,314,14
28,1721131727,315,1
29,1721131974,327,12
30,1721132100,346,19
31,1721132162,348,2
32,1721132288,352,4
33,1721132412,373,21
34,1721132599,378,5
35,1721132662,385,7
36,1721132849,398,13
37,1721133034,414,16
38,1721133098,432,18
39,1721133405,457,25
40,1721133529,459,2
41,1721133593,461,2
42,1721133657,462,1
43,1721133782,464,2
44,1721133846,468,4
45,1721134084,499,31
46,1721134330,509,10
47,1721134640,527,18
48,1721134886,556,29
49,1721135024,572,16
50,1721135211,586,14
51,1721135275,599,13
52,1721135482,609,10
53,1721135836,623,14
54,1721135899,625,2
55,1721136260,675,50
56,1721136301,698,23
57,1721136476,701,3
58,1721136664,750,49
59,1721136849,767,17
60,1721137217,802,35
61,1721137588,829,27
62,1721137773,841,12
